model,data_augmentations,instance_id,train_trial_index,score,score_name,unique_id_inc_seed,split,sub_split
cohere_xlarge-20221108,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/msmarco:track=trec,valid_topk=30,model=cohere_xlarge-20221108,data_augmentation=canonical",id1000,0,0.03668196104968002,NDCG@10,"msmarco:track=trec,valid_topk=30_id1000_0",valid,
cohere_xlarge-20221108,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/msmarco:track=trec,valid_topk=30,model=cohere_xlarge-20221108,data_augmentation=canonical",id1001,0,0.44201877757315733,NDCG@10,"msmarco:track=trec,valid_topk=30_id1001_0",valid,
cohere_xlarge-20221108,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/msmarco:track=trec,valid_topk=30,model=cohere_xlarge-20221108,data_augmentation=canonical",id1002,0,0.758088489818456,NDCG@10,"msmarco:track=trec,valid_topk=30_id1002_0",valid,
cohere_xlarge-20221108,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/msmarco:track=trec,valid_topk=30,model=cohere_xlarge-20221108,data_augmentation=canonical",id1003,0,0.609328932465927,NDCG@10,"msmarco:track=trec,valid_topk=30_id1003_0",valid,
cohere_xlarge-20221108,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/msmarco:track=trec,valid_topk=30,model=cohere_xlarge-20221108,data_augmentation=canonical",id1004,0,0.4790617491195657,NDCG@10,"msmarco:track=trec,valid_topk=30_id1004_0",valid,
cohere_xlarge-20221108,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/msmarco:track=trec,valid_topk=30,model=cohere_xlarge-20221108,data_augmentation=canonical",id1005,0,0.797226533589274,NDCG@10,"msmarco:track=trec,valid_topk=30_id1005_0",valid,
cohere_xlarge-20221108,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/msmarco:track=trec,valid_topk=30,model=cohere_xlarge-20221108,data_augmentation=canonical",id1006,0,0.8347727710785315,NDCG@10,"msmarco:track=trec,valid_topk=30_id1006_0",valid,
cohere_xlarge-20221108,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/msmarco:track=trec,valid_topk=30,model=cohere_xlarge-20221108,data_augmentation=canonical",id1007,0,0.5482796132790302,NDCG@10,"msmarco:track=trec,valid_topk=30_id1007_0",valid,
cohere_xlarge-20221108,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/msmarco:track=trec,valid_topk=30,model=cohere_xlarge-20221108,data_augmentation=canonical",id1008,0,0.45899811695871995,NDCG@10,"msmarco:track=trec,valid_topk=30_id1008_0",valid,
cohere_xlarge-20221108,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/msmarco:track=trec,valid_topk=30,model=cohere_xlarge-20221108,data_augmentation=canonical",id1009,0,0.7987972909671696,NDCG@10,"msmarco:track=trec,valid_topk=30_id1009_0",valid,
cohere_xlarge-20221108,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/msmarco:track=trec,valid_topk=30,model=cohere_xlarge-20221108,data_augmentation=canonical",id1010,0,0.8623893785099407,NDCG@10,"msmarco:track=trec,valid_topk=30_id1010_0",valid,
cohere_xlarge-20221108,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/msmarco:track=trec,valid_topk=30,model=cohere_xlarge-20221108,data_augmentation=canonical",id1011,0,0.6243206203948194,NDCG@10,"msmarco:track=trec,valid_topk=30_id1011_0",valid,
cohere_xlarge-20221108,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/msmarco:track=trec,valid_topk=30,model=cohere_xlarge-20221108,data_augmentation=canonical",id1012,0,0.607535000936254,NDCG@10,"msmarco:track=trec,valid_topk=30_id1012_0",valid,
cohere_xlarge-20221108,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/msmarco:track=trec,valid_topk=30,model=cohere_xlarge-20221108,data_augmentation=canonical",id1013,0,0.27662742462902606,NDCG@10,"msmarco:track=trec,valid_topk=30_id1013_0",valid,
cohere_xlarge-20221108,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/msmarco:track=trec,valid_topk=30,model=cohere_xlarge-20221108,data_augmentation=canonical",id1014,0,0.22216607929552928,NDCG@10,"msmarco:track=trec,valid_topk=30_id1014_0",valid,
cohere_xlarge-20221108,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/msmarco:track=trec,valid_topk=30,model=cohere_xlarge-20221108,data_augmentation=canonical",id1015,0,0.5422095463781977,NDCG@10,"msmarco:track=trec,valid_topk=30_id1015_0",valid,
cohere_xlarge-20221108,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/msmarco:track=trec,valid_topk=30,model=cohere_xlarge-20221108,data_augmentation=canonical",id1016,0,0.5860228482538452,NDCG@10,"msmarco:track=trec,valid_topk=30_id1016_0",valid,
cohere_xlarge-20221108,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/msmarco:track=trec,valid_topk=30,model=cohere_xlarge-20221108,data_augmentation=canonical",id1017,0,0.6959357140499929,NDCG@10,"msmarco:track=trec,valid_topk=30_id1017_0",valid,
cohere_xlarge-20221108,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/msmarco:track=trec,valid_topk=30,model=cohere_xlarge-20221108,data_augmentation=canonical",id1018,0,0.7633553583819334,NDCG@10,"msmarco:track=trec,valid_topk=30_id1018_0",valid,
cohere_xlarge-20221108,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/msmarco:track=trec,valid_topk=30,model=cohere_xlarge-20221108,data_augmentation=canonical",id1019,0,0.7609108027609228,NDCG@10,"msmarco:track=trec,valid_topk=30_id1019_0",valid,
cohere_xlarge-20221108,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/msmarco:track=trec,valid_topk=30,model=cohere_xlarge-20221108,data_augmentation=canonical",id1020,0,0.586103834245712,NDCG@10,"msmarco:track=trec,valid_topk=30_id1020_0",valid,
cohere_xlarge-20221108,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/msmarco:track=trec,valid_topk=30,model=cohere_xlarge-20221108,data_augmentation=canonical",id1021,0,0.5935057148098191,NDCG@10,"msmarco:track=trec,valid_topk=30_id1021_0",valid,
cohere_xlarge-20221108,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/msmarco:track=trec,valid_topk=30,model=cohere_xlarge-20221108,data_augmentation=canonical",id1022,0,0.45033567462342783,NDCG@10,"msmarco:track=trec,valid_topk=30_id1022_0",valid,
cohere_xlarge-20221108,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/msmarco:track=trec,valid_topk=30,model=cohere_xlarge-20221108,data_augmentation=canonical",id1023,0,0.4181370403714147,NDCG@10,"msmarco:track=trec,valid_topk=30_id1023_0",valid,
cohere_xlarge-20221108,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/msmarco:track=trec,valid_topk=30,model=cohere_xlarge-20221108,data_augmentation=canonical",id1024,0,0.5374483231576754,NDCG@10,"msmarco:track=trec,valid_topk=30_id1024_0",valid,
cohere_xlarge-20221108,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/msmarco:track=trec,valid_topk=30,model=cohere_xlarge-20221108,data_augmentation=canonical",id1025,0,0.0,NDCG@10,"msmarco:track=trec,valid_topk=30_id1025_0",valid,
cohere_xlarge-20221108,"/dccstor/nlgforbi/fm-eval/dev/research-helm/benchmark_output/runs/v0.2.2/msmarco:track=trec,valid_topk=30,model=cohere_xlarge-20221108,data_augmentation=canonical",id1026,0,0.6405513542854624,NDCG@10,"msmarco:track=trec,valid_topk=30_id1026_0",valid,
