T,Model,Average ⬆️,ARC,HellaSwag,MMLU,TruthfulQA,Winogrande,GSM8K,Type,Architecture,Weight type,Precision,Merged,Hub License,#Params (B),Hub ❤️,Available on the hub,Model sha,Flagged,MoE
🟦,moreh/MoMo-70B-lora-1.8.6-DPO,77.29,70.14,86.03,77.4,69.0,84.37,76.8,RL-tuned,LlamaForCausalLM,Original,bfloat16,False,mit,72.29,18.0,True,76389d5d825c3743cc70bc75b902bbfdad11beba,False,False
🟢,cloudyu/Yi-34Bx2-MoE-60B,76.72,71.08,85.23,77.47,66.19,84.85,75.51,pretrained,MixtralForCausalLM,Original,bfloat16,False,cc-by-nc-4.0,60.81,42.0,True,483359d70b3fef480cdaeb6d722a18626d34f0ce,True,True
🟢,cloudyu/Mixtral_34Bx2_MoE_60B,76.66,71.33,85.25,77.34,66.59,84.85,74.6,pretrained,MixtralForCausalLM,Original,bfloat16,False,cc-by-nc-4.0,60.81,83.0,True,f49d7cf0a7b99b15bc98b0ef4a681e7f0f4aa92c,True,True
🟢,cloudyu/Mixtral_34Bx2_MoE_60B,76.63,71.25,85.36,77.28,66.61,84.69,74.6,pretrained,MixtralForCausalLM,Original,float16,False,cc-by-nc-4.0,60.81,83.0,True,f49d7cf0a7b99b15bc98b0ef4a681e7f0f4aa92c,True,True
🟦,moreh/MoMo-70B-lora-1.8.4-DPO,76.23,69.62,85.35,77.33,64.64,84.14,76.27,RL-tuned,LlamaForCausalLM,Original,bfloat16,False,mit,72.29,10.0,True,a2c3a87dd53a87dc9fc622ce4ddbb05d3e9cf6a9,False,False
🔶,cloudyu/Yi-34Bx3-MoE-90B,76.18,70.9,85.33,77.41,66.31,84.29,72.86,fine-tuned,MixtralForCausalLM,Original,bfloat16,False,cc-by-nc-4.0,87.24,5.0,True,b4b717be590394a4e70853cb444bd0964526c500,True,True
🟢,sumo43/Yi-32b-x2-v2.0,76.17,73.04,85.95,76.79,73.22,82.79,65.2,pretrained,MixtralForCausalLM,Original,bfloat16,True,mit,60.81,0.0,True,1e61f28b326fe0080ad476ce2b1dd041ec9f147f,True,True
🟦,moreh/MoMo-70B-lora-1.8.5-DPO,76.14,69.54,85.6,77.49,65.79,84.14,74.3,RL-tuned,LlamaForCausalLM,Original,bfloat16,False,mit,72.29,0.0,False,7a0aadea285a82d50c96b0988b12cc3c6267249a,False,False
🔶,TomGrc/FusionNet_7Bx2_MoE_14B,75.91,73.55,88.84,64.68,69.6,88.16,70.66,fine-tuned,MixtralForCausalLM,Original,bfloat16,False,mit,12.88,13.0,True,a619fd0fcbdfcc897054491c2f285677bee38a11,False,True
🔶,cloudyu/Mixtral_7Bx2_MoE_DPO,75.88,73.04,88.76,64.94,81.5,82.16,64.9,fine-tuned,MixtralForCausalLM,Original,bfloat16,False,cc-by-nc-4.0,12.88,0.0,False,bf4cb27f17bfc58aaf6011a8ba8393a1177ebbe7,True,True
